Edge TPU Compiler version 16.0.384591198
Input: /mnt/c/Users/jjw74/Desktop/SNU/SNU 3-2/Creative Integrated Design/repnext-optimization/logs/iter4_segments/n3/repnext_m5_relu_sparse_stage2_downsample_512_int8_dwpatched_segment_2_of_3.tflite
Output: /mnt/c/Users/jjw74/Desktop/SNU/SNU 3-2/Creative Integrated Design/repnext-optimization/logs/iter4_segments/n3/repnext_m5_relu_sparse_stage2_downsample_512_int8_dwpatched_segment_2_of_3_edgetpu.tflite

Operator                       Count      Status

DEPTHWISE_CONV_2D              24         More than one subgraph is not supported
PAD                            10         More than one subgraph is not supported
TRANSPOSE                      12         Operation is otherwise supported, but not mapped due to some unspecified limitation
CONCATENATION                  2          More than one subgraph is not supported
SPLIT                          1          More than one subgraph is not supported
ADD                            17         More than one subgraph is not supported
ADD                            1          Mapped to Edge TPU
CONV_2D                        4          More than one subgraph is not supported
CONV_2D                        1          Mapped to Edge TPU
MUL                            2          More than one subgraph is not supported
