Edge TPU Compiler version 16.0.384591198
Input: logs/repnext_stage2_int8_dwpatched_concatfold.tflite
Output: logs/iter5_concatfold/repnext_stage2_int8_dwpatched_concatfold_edgetpu.tflite

Operator                       Count      Status

CONV_2D                        30         More than one subgraph is not supported
CONV_2D                        4          Mapped to Edge TPU
ADD                            9          Mapped to Edge TPU
ADD                            133        More than one subgraph is not supported
SPLIT                          13         More than one subgraph is not supported
SPLIT                          1          Mapped to Edge TPU
TRANSPOSE                      105        Operation is otherwise supported, but not mapped due to some unspecified limitation
PAD                            20         More than one subgraph is not supported
PAD                            2          Mapped to Edge TPU
CONCATENATION                  15         More than one subgraph is not supported
CONCATENATION                  1          Mapped to Edge TPU
DEPTHWISE_CONV_2D              13         Mapped to Edge TPU
DEPTHWISE_CONV_2D              191        More than one subgraph is not supported
MUL                            15         More than one subgraph is not supported
MUL                            1          Mapped to Edge TPU
